date,description,amount,provider
04/04/2024,CHEMIST WAREHOUSE SYDNE SYDNEY,29.69,AMEX
04/04/2024,OUTTA COFFEE PTY LTD    Haymarket,4.5,AMEX
04/04/2024,WW METRO 1211 PITT STRE SYDNEY,18.95,AMEX
04/04/2024,PAYPAL *SCORPIONTEC     4029357733,635.29,AMEX
03/04/2024,PAYPAL *THEGOODGUYS     4029357733,365.0,AMEX
31/03/2024,WOOLWORTHS 1177 FORSTER FORSTER,5.1,AMEX
29/03/2024,KUKI SOFT SERVE & BAKE  Ultimo,7.09,AMEX
28/03/2024,CITY PHYSIO SYDNEY P/L  SYDNEY,68.0,AMEX
29/03/2024,WW METRO 1716 HAYMARKET HAYMARKET,30.35,AMEX
26/03/2024,BALANCE TRANSFERRED,1761.86,AMEX
26/03/2024,REVERSAL OF BALANCE TRANSFER,-1761.86,AMEX
25/03/2024,CHAFFEE HOUSE           EASTWOOD,4.5,AMEX
26/03/2024,PAYPAL *ADIDASAUSTR     4029357733,31.5,AMEX
25/03/2024,APEX PETROLEUM WEST RYD WEST RYDE,105.9,AMEX
25/03/2024,BUNNINGS WAREHOUSE ALEX ALEXANDRIA,618.43,AMEX
25/03/2024,JB HI FI BROADWAY       BROADWAY,996.0,AMEX
20/03/2024,BPAY PAYMENT-THANK YOU REC # 3800987161,-5653.78,AMEX
18/03/2024,GLOBIRD ENERGY PTY LTD  RINGWOOD,9.3,AMEX
17/03/2024,PAYPAL *CRUNCHYROLL     4157963560,10.99,AMEX
14/03/2024,CHEMIST WAREHOUSE EASTW EASTWOOD,13.99,AMEX
14/03/2024,WOOLWORTHS 1200 EASTWOO EASTWOOD,2.75,AMEX
13/03/2024,PAYPAL *TEMPLWEBSTR     0282643200,906.95,AMEX
09/03/2024,PAYPAL *NETFLIX AUS     4085403700,22.99,AMEX
28/02/2024,WOOLWORTHS 1200 EASTWOO EASTWOOD,4.0,AMEX
27/02/2024,CHEMIST WAREHOUSE EASTW EASTWOOD,12.99,AMEX
27/02/2024,CHEMIST WAREHOUSE EASTW EASTWOOD,19.99,AMEX
27/02/2024,SLAR GROUP PTY LTD      GLADESVILLE,16.75,AMEX
25/02/2024,HAVEN SPECIALTY COFFEE  Haymarket,15.4,AMEX
24/02/2024,RICE & CURRY 83215      PYRMONT,76.8,AMEX
23/02/2024,NANJING DUMPLING 135612 HAYMARKET,8.24,AMEX
23/02/2024,CANTEEN TAIWAN 85577    EASTWOOD,24.36,AMEX
21/02/2024,YT GROUP PTY LTD        SILVERWATER,1650.0,AMEX
19/02/2024,EDITION ROASTERS MC 124 SYDNEY,5.0,AMEX
19/02/2024,GLOBIRD ENERGY PTY LTD  RINGWOOD,75.24,AMEX
20/02/2024,PET INSURANCE CHATSWOOD CHATSWOOD,2232.98,AMEX
20/02/2024,SR-DELI ZIOSA-SYDNEY-42 SYDNEY,12.0,AMEX
20/02/2024,UNIQLO AUSTRALIA PTY LT MELBOURNE,9.9,AMEX
20/02/2024,WOOLWORTHS 1905 BROADWA BROADWAY,6.56,AMEX
19/02/2024,ZENTARA MASSAGE SYDNEY  SYDNEY,81.2,AMEX
19/02/2024,UNIQLO AUSTRALIA PTY LT MELBOURNE,14.9,AMEX
18/02/2024,WW METRO 1716 HAYMARKET HAYMARKET,16.0,AMEX
17/02/2024,BWS 6427 WEST RYDE      WEST RYDE,45.0,AMEX
18/02/2024,CAFE QUEENZ             Ultimo,16.3,AMEX
18/02/2024,JONES ST CAFE           ULTIMO,4.57,AMEX
19/02/2024,PAYPAL *NINTENDO        756629616,47.86,AMEX
18/02/2024,YUMYUM                  Eastwood,4.89,AMEX
16/02/2024,CITY PHYSIO SYDNEY P/L  SYDNEY,7.0,AMEX
16/02/2024,CITY PHYSIO SYDNEY P/L  SYDNEY,68.0,AMEX
16/02/2024,EDITION ROASTERS MC 124 SYDNEY,5.0,AMEX
17/02/2024,H&M SYDNEY AU0003 H&M S SYDNEY,34.99,AMEX
17/02/2024,IMACCHERONI.COM.AU      SYDNEY,157.88,AMEX
17/02/2024,PAYPAL *CRUNCHYROLL     4157963560,10.99,AMEX
15/02/2024,CANTON CAFE EASTWOOD    EASTWOOD,19.24,AMEX
14/02/2024,BPAY PAYMENT-THANK YOU REC # 5509200613,-4261.22,AMEX
14/02/2024,ZILIA                   SYDNEY,15.81,AMEX
13/02/2024,MEMBERSHIP FEE,450.0,AMEX
14/02/2024,PORTAFILTER             Sydney,4.0,AMEX
13/02/2024,COLES WEST RYDE 968     WEST RYDE,4.5,AMEX
13/02/2024,MEET FRESH              EASTWOOD,17.97,AMEX
12/02/2024,WOOLWORTHS 1200 EASTWOO EASTWOOD,5.6,AMEX
11/02/2024,YAYOI TEISHOKU JAPANESE Haymarket,60.29,AMEX
08/02/2024,MACHI MACHI EASTWOOD 12 EASTWOOD,7.0,AMEX
09/02/2024,PAYPAL *NETFLIX AUS     4085403700,22.99,AMEX
07/02/2024,JIMMY'S FALAFEL         SYDNEY,105.09,AMEX
06/02/2024,LAKSA KING 77799        SYDNEY,42.61,AMEX
05/02/2024,WOOLWORTHS 1200 EASTWOO EASTWOOD,22.35,AMEX
04/02/2024,EDITION ROASTERS 79951  HAYMARKET,7.15,AMEX
04/02/2024,KAPPUCCINO              Ultimo,34.0,AMEX
03/02/2024,ICE KIRIN BAR REGENT PL Sydney,6.59,AMEX
03/02/2024,YAPPARI STEAK           SYDNEY,2.96,AMEX
03/02/2024,YAPPARI STEAK           SYDNEY,75.17,AMEX
30/01/2024,EDITION ROASTERS MC 124 SYDNEY,5.0,AMEX
30/01/2024,EDITION ROASTERS MC 124 SYDNEY,6.0,AMEX
30/01/2024,MAMAKSMLC 112906        SYDNEY,17.5,AMEX
29/01/2024,MACHI MACHI EASTWOOD 12 EASTWOOD,16.24,AMEX
30/01/2024,MEET FRESH              EASTWOOD,21.11,AMEX
29/01/2024,APEX PETROLEUM WEST RYD WEST RYDE,58.24,AMEX
28/01/2024,MARUHAN PTY LTD         HAYMARKET,73.5,AMEX
27/01/2024,KAPPUCCINO              Ultimo,0.5,AMEX
27/01/2024,KAPPUCCINO              Ultimo,4.2,AMEX
27/01/2024,KAPPUCCINO              Ultimo,18.1,AMEX
27/01/2024,LUXE PATISSERIE & SWE 1 FAIRFIELD HEIGH,18.5,AMEX
24/01/2024,EASTWOOD THAI MASSAGE   EASTWOOD,76.0,AMEX
26/01/2024,MACHI MACHI EASTWOOD 12 EASTWOOD,9.64,AMEX
24/01/2024,SMALLANIMALSPECIALISTHO NORTH RYDE,239.0,AMEX
23/01/2024,EDITION ROASTERS MC 124 SYDNEY,5.0,AMEX
23/01/2024,EDITION ROASTERS MC 124 SYDNEY,5.5,AMEX
24/01/2024,HAVEN SPECIALTY COFFEE  Haymarket,7.5,AMEX
23/01/2024,LOCALI BY ROMEOS GEORGE SYDNEY,3.55,AMEX
23/01/2024,MAMAKSMLC 112906        SYDNEY,18.0,AMEX
23/01/2024,QANTAS LOYALTY          MASCOT,2239.37,AMEX
24/01/2024,RIVARENO GELATO DARLIN  DARLINGHURST,6.97,AMEX
22/01/2024,HANA COSMETICS          HAYMARKET,182.8,AMEX
23/01/2024,PAYPAL *BOOKTOPIABO     01300187187,101.75,AMEX
22/01/2024,THAI KEE IGA SUPERMARKE HAYMARKET,2.69,AMEX
20/01/2024,BUNNINGS WAREHOUSE ALEX ALEXANDRIA,119.61,AMEX
20/01/2024,JONES ST CAFE           ULTIMO,31.49,AMEX
20/01/2024,ORGANICA                CONCORD,109.19,AMEX
26 May 24,Linkt Sydney,-20.17,NAB
25 May 24,KMART 1155 BROADWAY,-0.2,NAB
25 May 24,PANLARN THAI PTY LTD HAYMARKET,-5.96,NAB
24 May 24,OS CALCIS PTY LIMITED SYDNEY,-120.0,NAB
23 May 24,ShopBack Zilia Australia,-10.15,NAB
23 May 24,ESSENTIAL MED IMAGIN SYDNEY,-145.0,NAB
22 May 24,LEE & KO PTY LTD EASTWOOD,-7.11,NAB
22 May 24,SMP*10000 Lab Eastwood,-4.9,NAB
22 May 24,AMAZON MARKETPLACE AU SYDNEY SOUTH,-23.99,NAB
22 May 24,AN VIET EASTWOOD PTY Eastwood,-22.9,NAB
22 May 24,ShopBack BonBons Bakery Australia,-12.69,NAB
22 May 24,AMAZON AU SYDNEY SOUTH,-395.0,NAB
21 May 24,ShopBack Canteen Taiwan EAustralia,-10.15,NAB
20 May 24,LIVE GROUP/8/1 PROGRESS AEASTWOOD,-6.62,NAB
20 May 24,SQ *ULTIMO KITCHEN Ultimo,-22.32,NAB
20 May 24,Kindle Svcs MELBOURNE,-19.99,NAB
20 May 24,CN Poultry Eastwood Eastwood,-19.27,NAB
20 May 24,HUI LING XIE PYRMONT,-55.0,NAB
20 May 24,Kindle Svcs MELBOURNE,19.99,NAB
17 May 24,SQ *WORLDWIDE Surry Hills,-39.0,NAB
16 May 24,Google YouTubePremium Barangaroo,-32.99,NAB
15 May 24,LEE & KO PTY LTD EASTWOOD,-8.12,NAB
15 May 24,BOOYONG KIM SYDNEY,-120.0,NAB
15 May 24,CASH/TRANSFER PAYMENT - THANK YOU,1265.48,NAB
14 May 24,AMAZON MARKETPLACE AU SYDNEY SOUTH,-26.96,NAB
14 May 24,ALDI STORES - BROADWAY BROADWAY,-16.57,NAB
13 May 24,BOOYONG KIM SYDNEY,-65.0,NAB
09 May 24,AMAZON MARKETPLACE AU SYDNEY SOUTH,-8.99,NAB
09 May 24,Adobe Sydney,-14.29,NAB
09 May 24,PAYPAL *ROLLIN*INSU IN 4029357733,-125.44,NAB
08 May 24,AMZNPRIMEAU MEMBERSHIP SYDNEY SOUTH,-9.99,NAB
07 May 24,AMAZON MARKETPLACE AU SYDNEY SOUTH,-13.79,NAB
06 May 24,CN Poultry Eastwood Eastwood,-8.55,NAB
06 May 24,LIVE GROUP/8/1 PROGRESS AEASTWOOD,-5.18,NAB
06 May 24,JEERA RUNTO PTY LTD REDFERN,-35.0,NAB
06 May 24,THE SPICE LOUNGE INDIA PYRMONT,-28.2,NAB
06 May 24,HO CHAK PTY LTD CHATSWOOD,-15.23,NAB
06 May 24,FB AU PTY LTD EASTWOOD,-14.0,NAB
06 May 24,AMAZON MARKETPLACE AU SYDNEY SOUTH,-12.28,NAB
06 May 24,DidiChuxing DIDI MOBILITYSydney,-10.44,NAB
06 May 24,JEERA RUNTO PTY LTD REDFERN,-60.0,NAB
01 May 24,DidiChuxing DIDI MOBILITYSydney,-18.78,NAB
29 Apr 24,L & W MEAT EASTWOOD,-7.99,NAB
